"Commodity","Date","Market","Origin","Variety","Sub-Variety","Package","Item Size","Unit of Sale","Environment","Grade","Product Type","High Price","Low Price","Avg Price"
"APPLES","12/18/04","ATLANTA","WEST VIRGINIA","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","21.5","21","21.25"
"APPLES","10/9/04","ATLANTA","WEST VIRGINIA","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","21.5","21","21.25"
"APPLES","12/25/04","ATLANTA","WEST VIRGINIA","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","21.5","21","21.25"
"APPLES","1/1/05","ATLANTA","WEST VIRGINIA","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","21.5","21","21.25"
"APPLES","10/16/04","ATLANTA","WEST VIRGINIA","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","21.5","21","21.25"
"APPLES","10/23/04","ATLANTA","WEST VIRGINIA","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","21.5","21","21.25"
"APPLES","11/6/04","ATLANTA","WEST VIRGINIA","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","21.5","21","21.25"
"APPLES","12/3/16","COLUMBIA","WEST VIRGINIA","PINK LADY/CRIPPS PINK","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","25","22","23.5"
"APPLES","11/12/16","COLUMBIA","WEST VIRGINIA","PINK LADY/CRIPPS PINK","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","25","25","25"
"APPLES","11/15/14","COLUMBIA","WEST VIRGINIA","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22","22","22"
"APPLES","11/22/14","COLUMBIA","WEST VIRGINIA","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22","22","22"
"APPLES","11/13/04","ATLANTA","WEST VIRGINIA","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","21.5","21","21.25"
"APPLES","11/20/04","ATLANTA","WEST VIRGINIA","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","21.5","21","21.25"
"APPLES","1/7/17","COLUMBIA","WEST VIRGINIA","PINK LADY/CRIPPS PINK","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22","22","22"
"APPLES","11/8/14","COLUMBIA","WEST VIRGINIA","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22","22","22"
"APPLES","9/28/02","PITTSBURGH","WEST VIRGINIA","ROYAL GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22.75","22.75","22.75"
"APPLES","12/4/04","ATLANTA","WEST VIRGINIA","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","21.5","21","21.25"
"APPLES","9/21/02","PITTSBURGH","WEST VIRGINIA","ROYAL GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","27.5","27.5","27.5"
"APPLES","11/5/16","COLUMBIA","WEST VIRGINIA","PINK LADY/CRIPPS PINK","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","25","25","25"
"APPLES","12/31/16","COLUMBIA","WEST VIRGINIA","PINK LADY/CRIPPS PINK","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22","22","22"
"APPLES","1/14/17","COLUMBIA","WEST VIRGINIA","PINK LADY/CRIPPS PINK","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22","22","22"
"APPLES","1/21/17","COLUMBIA","WEST VIRGINIA","PINK LADY/CRIPPS PINK","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22","22","22"
"APPLES","9/28/02","PITTSBURGH","WEST VIRGINIA","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","15","15","15"
"APPLES","12/10/16","COLUMBIA","WEST VIRGINIA","PINK LADY/CRIPPS PINK","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22","22","22"
"APPLES","12/24/16","COLUMBIA","WEST VIRGINIA","PINK LADY/CRIPPS PINK","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22","22","22"
"APPLES","12/17/16","COLUMBIA","WEST VIRGINIA","PINK LADY/CRIPPS PINK","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22","22","22"
"APPLES","12/11/04","ATLANTA","WEST VIRGINIA","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","21.5","21","21.25"
"APPLES","10/30/04","ATLANTA","WEST VIRGINIA","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","21.5","21","21.25"
"APPLES","1/28/17","COLUMBIA","WEST VIRGINIA","PINK LADY/CRIPPS PINK","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22","22","22"
"APPLES","11/27/04","ATLANTA","WEST VIRGINIA","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","21.5","21","21.25"
"APPLES","11/1/14","COLUMBIA","WEST VIRGINIA","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22","22","22"
"APPLES","10/28/17","BALTIMORE","WEST VIRGINIA","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22","20","21"
"APPLES","11/18/17","BALTIMORE","WEST VIRGINIA","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","20","19","19.5"
"APPLES","9/16/17","BALTIMORE","WEST VIRGINIA","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","25","22","23.5"
"APPLES","10/14/17","BALTIMORE","WEST VIRGINIA","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22","20","21"
"APPLES","12/13/14","COLUMBIA","WEST VIRGINIA","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22","22","22"
"APPLES","9/11/10","PITTSBURGH","WEST VIRGINIA","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","20.25","20.25","20.25"
"APPLES","11/7/09","PITTSBURGH","WEST VIRGINIA","FUJI","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22.5","21.5","22"
"APPLES","10/7/17","BALTIMORE","WEST VIRGINIA","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22","20","21"
"APPLES","11/4/17","BALTIMORE","WEST VIRGINIA","GOLDEN DELICIOUS","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22","19","20.5"
"APPLES","11/19/16","COLUMBIA","WEST VIRGINIA","PINK LADY/CRIPPS PINK","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","25","25","25"
"APPLES","1/3/15","COLUMBIA","WEST VIRGINIA","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22","22","22"
"APPLES","12/6/14","COLUMBIA","WEST VIRGINIA","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22","22","22"
"APPLES","1/10/15","COLUMBIA","WEST VIRGINIA","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22","22","22"
"APPLES","10/25/14","COLUMBIA","WEST VIRGINIA","GALA","Not Specified","cartons tray pack","100S","NONE","Not Specified","U.S. Fcy","Non-Organic","22","22","22"
